sector	in.state	month	fuel	calibration_multiplier
com	MI	10	Electric	1.1635445207498805
com	MI	10	Natural Gas	1.0790271572373782
com	MI	11	Electric	1.1131349241489017
com	MI	11	Natural Gas	0.8863757127310778
com	MI	12	Electric	1.1877177216012307
com	MI	12	Natural Gas	1.1171436722057897
com	MN	1	Electric	0.8266841083450039
com	MN	1	Natural Gas	1.0928489515299575
com	MN	2	Electric	0.9138555518845924
com	MN	2	Natural Gas	1.100285506047404
com	MN	3	Electric	0.935863678040206
com	MN	3	Natural Gas	1.3249835126983676
com	MN	4	Electric	0.8609898890876408
com	MN	4	Natural Gas	0.9789006847561452
com	MN	5	Electric	0.7991540857756333
com	MN	5	Natural Gas	1.0690715068720935
com	MN	6	Electric	0.8197957204590585
com	MN	6	Natural Gas	0.7925421719340615
com	MN	7	Electric	0.8622611181823931
com	MN	7	Natural Gas	0.6857551520534286
com	MN	8	Electric	0.8475339767311508
com	MN	8	Natural Gas	0.7818076718906954
com	MN	9	Electric	0.8440286798629959
com	MN	9	Natural Gas	0.7165549161967653
com	MN	10	Electric	0.8737169227468671
com	MN	10	Natural Gas	0.9877287838897942
com	MN	11	Electric	0.8226163971424537
com	MN	11	Natural Gas	0.9524966877762037
com	MN	12	Electric	0.8759192644924406
com	MN	12	Natural Gas	1.1613033018200434
com	MO	1	Electric	0.8298170898733236
com	MO	1	Natural Gas	0.8397147855532274
com	MO	2	Electric	0.9259438755181343
com	MO	2	Natural Gas	0.9200689541092683
com	MO	3	Electric	0.8687857691966497
com	MO	3	Natural Gas	0.9515042328613761
com	MO	4	Electric	0.8463605249953657
com	MO	4	Natural Gas	0.6087586073211699
com	MO	5	Electric	0.7967099686090062
com	MO	5	Natural Gas	0.6945188090694009
com	MO	6	Electric	0.8425327756475788
com	MO	6	Natural Gas	0.5644899094427532
com	MO	7	Electric	0.8618777005800057
com	MO	7	Natural Gas	0.5252564571453455
com	MO	8	Electric	0.8625792635126859
com	MO	8	Natural Gas	0.5439116759132584
com	MO	9	Electric	0.9074476490426708
com	MO	9	Natural Gas	0.5889176603324382
com	MO	10	Electric	0.8482183534691211
com	MO	10	Natural Gas	0.7387779972059407
com	MO	11	Electric	0.7673643049994799
com	MO	11	Natural Gas	0.7025950490331245
com	MO	12	Electric	0.7957655931611919
com	MO	12	Natural Gas	0.8817673897928531
com	MS	1	Electric	1.0430369129913328
com	MS	1	Natural Gas	0.9565047840756413
com	MS	2	Electric	1.2364392533208746
com	MS	2	Natural Gas	1.7470708681145983
com	MS	3	Electric	1.158984409615131
com	MS	3	Natural Gas	1.4244584862330978
com	MS	4	Electric	1.1624241413011565
com	MS	4	Natural Gas	1.109173234173068
com	MS	5	Electric	1.0301121425165451
com	MS	5	Natural Gas	1.049737791782185
com	MS	6	Electric	1.1192090989457109
com	MS	6	Natural Gas	0.9847504908217146
com	MS	7	Electric	1.1912632558662628
com	MS	7	Natural Gas	0.9570391493298679
com	MS	8	Electric	1.2267965971464903
com	MS	8	Natural Gas	0.9579308860646062
com	MS	9	Electric	1.2473681122812061
com	MS	9	Natural Gas	0.9918846810083218
com	MS	10	Electric	1.2083476541934857
com	MS	10	Natural Gas	1.15354112966474
com	MS	11	Electric	1.134081079416914
com	MS	11	Natural Gas	1.0446324751858067
com	MS	12	Electric	1.1288605214811236
com	MS	12	Natural Gas	1.2501151735763005
com	MT	1	Electric	1.616521116357076
com	MT	1	Natural Gas	1.6334459400904102
com	MT	2	Electric	1.710974558082945
com	MT	2	Natural Gas	1.3291840613369108
com	MT	3	Electric	1.5333540679825575
com	MT	3	Natural Gas	1.6677943454271138
com	MT	4	Electric	1.6364633414091145
com	MT	4	Natural Gas	1.897383747009527
com	MT	5	Electric	1.5627220316214003
com	MT	5	Natural Gas	2.5640805890405374
com	MT	6	Electric	1.4570196886987996
com	MT	6	Natural Gas	2.119585603964675
com	MT	7	Electric	1.3085702049546373
com	MT	7	Natural Gas	2.053421044122916
