meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) Ref. Case NG Boiler & Chiller	Ventilation	com_hvac_ann_9	com_hvac_ann_9	com_ventilation_4	com_ventilation_4	com	NG boiler + RTAC or chiller	NG boiler + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case NG Furnace & AC	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	NG furnace + central or room AC	NG furnace + central or room AC	AC	AC
(C) Ref. Case NG Furnace & AC	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_8	com	NG furnace + central or room AC	NG furnace + central or room AC	fossil	fossil
(C) Ref. Case NG Furnace & AC	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	NG furnace + central or room AC	NG furnace + central or room AC	AC	AC
(C) Ref. Case Other Fossil Boiler & Chiller	Cooling (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_cooling_ts_9	com_cooling_ts_9	com	Other fossil boiler + RTAC or chiller	Other fossil boiler + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case Other Fossil Boiler & Chiller	Heating (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_heating_ts_9	com_heating_ts_9	com	Other fossil boiler + RTAC or chiller	Other fossil boiler + RTAC or chiller	fossil	fossil
(C) Ref. Case Other Fossil Boiler & Chiller	Ventilation	com_hvac_ann_22	com_hvac_ann_22	com_ventilation_4	com_ventilation_4	com	Other fossil boiler + RTAC or chiller	Other fossil boiler + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case Other Fossil Furnace & AC	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	Other fossil furnace + central or room AC	Other fossil furnace + central or room AC	AC	AC
(C) Ref. Case Other Fossil Furnace & AC	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_8	com	Other fossil furnace + central or room AC	Other fossil furnace + central or room AC	fossil	fossil
(C) Ref. Case Other Fossil Furnace & AC	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	Other fossil furnace + central or room AC	Other fossil furnace + central or room AC	AC	AC
(C) Ref. Case Plug Loads	Computers and Electronics	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Computers and electronics	Computers and electronics	Computers and electronics	Computers and electronics
(C) Ref. Case Refrigeration	Refrigeration	com_refrig_ann_1	com_refrig_ann_1	com_refrig_ts_1	com_refrig_ts_1	com	Refrigeration	Refrigeration	Refrigeration	Refrigeration
(C) Ref. Case Resist. WH	Water Heating	com_wh_ann_2	com_wh_ann_2	com_wh_ts_1	com_wh_ts_1	com	Water heater, resistance	Water heater, resistance	Water heater, resistance	Water heater, resistance
(C) Ref. Case Resist. WH FS	Water Heating	com_wh_ann_1	com_wh_ann_1	com_wh_ts_1	com_wh_ts_1	com	Water heater, fossil	Water heater, resistance	Water heater, fossil	Water heater, resistance
(C) Ref. Case Resist. WH TS	Water Heating	com_wh_ann_2	com_wh_ann_2	com_wh_ts_1	com_wh_ts_1	com	Water heater, resistance	Water heater, resistance	Water heater, resistance	Water heater, resistance
(C) Ref. Case RTHP	Cooling (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_cooling_ts_1	com_cooling_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case RTHP	Heating (Equip.)	com_hvac_ann_1	com_hvac_ann_1	com_heating_ts_1	com_heating_ts_1	com	ASHP, reference	ASHP, reference	ASHP, reference	ASHP, reference
(C) Ref. Case RTU, NG Heat	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_16	com_cooling_ts_9	com_cooling_ts_9	com	NG RTU + RTAC or chiller	NG RTU + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case RTU, NG Heat	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_16	com_heating_ts_8	com_heating_ts_8	com	NG RTU + RTAC or chiller	NG RTU + RTAC or chiller	fossil	fossil
(C) Ref. Case RTU, NG Heat	Ventilation	com_hvac_ann_16	com_hvac_ann_16	com_ventilation_5	com_ventilation_5	com	NG RTU + RTAC or chiller	NG RTU + RTAC or chiller	RTAC or chiller	RTAC or chiller
(C) Ref. Case RTU, Other Fossil Heat	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_28	com_cooling_ts_9	com_cooling_ts_9	com	Other fossil RTU + RTAC or chiller	Other fossil RTU + RTAC or chiller	RTAC or chiller	RTAC or chiller
