in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
Mountain,364131622,2023,Other,26352.89605
Pacific,566482422,2023,Other,40997.40719
New England,500909515,2024,Assembly,36744.34276
Middle Atlantic,1185150757,2024,Assembly,86937.03022
East North Central,2350202393,2024,Assembly,172399.6844
West North Central,1008348023,2024,Assembly,73967.62144
South Atlantic,2993023682,2024,Assembly,219554.0008
East South Central,801987122,2024,Assembly,58829.96593
West South Central,1540257446,2024,Assembly,112985.9702
Mountain,962847840,2024,Assembly,70629.94414
Pacific,1474741088,2024,Assembly,108180.0014
New England,657429687,2024,Education,20205.13209
Middle Atlantic,1966352173,2024,Education,60432.93478
East North Central,2535209473,2024,Education,77915.92515
West North Central,1520473754,2024,Education,46729.51899
South Atlantic,2498720703,2024,Education,76794.4966
East South Central,862815002,2024,Education,26517.34692
West South Central,2007088501,2024,Education,61684.90576
Mountain,964802002,2024,Education,29651.76699
Pacific,1464334717,2024,Education,45004.16846
New England,84843163,2024,Food Sales ,28281.05433
Middle Atlantic,54616333,2024,Food Sales ,18205.44433
East North Central,279770416,2024,Food Sales ,93256.80533
West North Central,123318176,2024,Food Sales ,41106.05867
South Atlantic,86809692,2024,Food Sales ,28936.564
East South Central,38654393,2024,Food Sales ,12884.79767
West South Central,130193634,2024,Food Sales ,43397.878
Mountain,97296394,2024,Food Sales ,32432.13133
Pacific,117661987,2024,Food Sales ,39220.66233
New England,60826794,2024,Food Services ,14115.92266
Middle Atlantic,76663559,2024,Food Services ,17791.12129
East North Central,215325195,2024,Food Services ,49969.98196
West North Central,63580589,2024,Food Services ,14754.98901
South Atlantic,267896881,2024,Food Services ,62170.16226
East South Central,110084961,2024,Food Services ,25547.14285
West South Central,199526474,2024,Food Services ,46303.61211
Mountain,213104675,2024,Food Services ,49454.67141
Pacific,194526185,2024,Food Services ,45143.20749
New England,95503853,2024,Health Care,3553.871299
Middle Atlantic,280463501,2024,Health Care,10436.55471
East North Central,612076355,2024,Health Care,22776.46946
West North Central,150445465,2024,Health Care,5598.348165
South Atlantic,422908387,2024,Health Care,15737.18684
East South Central,119747368,2024,Health Care,4456.01639
West South Central,252869232,2024,Health Care,9409.721994
Mountain,197455536,2024,Health Care,7347.678028
Pacific,351928650,2024,Health Care,13095.90231
New England,341757721,2024,Lodging,5913.615937
Middle Atlantic,945324402,2024,Lodging,16357.4518
East North Central,1142914673,2024,Lodging,19776.46154
West North Central,629751038,2024,Lodging,10896.91774
South Atlantic,1435527465,2024,Lodging,24839.69658
East South Central,351430481,2024,Lodging,6080.988857
West South Central,834985657,2024,Lodging,14448.20171
Mountain,756543762,2024,Lodging,13090.8798
Pacific,979899780,2024,Lodging,16955.72799
New England,330627533,2024,Office,19128.1915
Middle Atlantic,2084244873,2024,Office,120582.3203
East North Central,1616795166,2024,Office,93538.3913
